acc=43.3333, pre=51.2458, rec=43.3333, f1=0.4156, kap=0.1500
acc=40.0000, pre=53.5873, rec=40.0000, f1=0.3942, kap=0.1000
acc=38.3333, pre=29.0196, rec=38.3333, f1=0.3181, kap=0.0750
acc=32.5000, pre=28.0754, rec=32.5000, f1=0.2927, kap=-0.0125
acc=40.8333, pre=37.6946, rec=40.8333, f1=0.3662, kap=0.1125
acc=40.0000, pre=33.2141, rec=40.0000, f1=0.3503, kap=0.1000
acc=43.3333, pre=42.0773, rec=43.3333, f1=0.4248, kap=0.1500
acc=36.6667, pre=35.0182, rec=36.6667, f1=0.3578, kap=0.0500
acc=39.1667, pre=34.9397, rec=39.1667, f1=0.3664, kap=0.0875
acc=36.6667, pre=35.2106, rec=36.6667, f1=0.3562, kap=0.0500
acc=38.3333, pre=36.5046, rec=38.3333, f1=0.3721, kap=0.0750
acc=47.5000, pre=45.4167, rec=47.5000, f1=0.4615, kap=0.2125
acc=42.5000, pre=41.2477, rec=42.5000, f1=0.4181, kap=0.1375
acc=39.1667, pre=34.0964, rec=39.1667, f1=0.3599, kap=0.0875
acc=39.1667, pre=35.7942, rec=39.1667, f1=0.3718, kap=0.0875
acc=37.5000, pre=34.9312, rec=37.5000, f1=0.3593, kap=0.0625
acc=37.5000, pre=33.6334, rec=37.5000, f1=0.3521, kap=0.0625
acc=38.3333, pre=34.2278, rec=38.3333, f1=0.3580, kap=0.0750
acc=40.0000, pre=35.8320, rec=40.0000, f1=0.3740, kap=0.1000
acc=33.3333, pre=31.5477, rec=33.3333, f1=0.3231, kap=0.0000
acc=35.8333, pre=31.3462, rec=35.8333, f1=0.3301, kap=0.0375
acc=41.6667, pre=40.8794, rec=41.6667, f1=0.4124, kap=0.1250
acc=40.0000, pre=37.8472, rec=40.0000, f1=0.3848, kap=0.1000
acc=40.0000, pre=36.2154, rec=40.0000, f1=0.3747, kap=0.1000
acc=39.1667, pre=34.6582, rec=39.1667, f1=0.3600, kap=0.0875
acc=37.5000, pre=35.5478, rec=37.5000, f1=0.3632, kap=0.0625
acc=39.1667, pre=35.6331, rec=39.1667, f1=0.3707, kap=0.0875
acc=36.6667, pre=34.1739, rec=36.6667, f1=0.3521, kap=0.0500
acc=35.0000, pre=31.3507, rec=35.0000, f1=0.3286, kap=0.0250
acc=36.6667, pre=33.7103, rec=36.6667, f1=0.3494, kap=0.0500
acc=39.1667, pre=39.9366, rec=39.1667, f1=0.3951, kap=0.0875
acc=36.6667, pre=35.0476, rec=36.6667, f1=0.3556, kap=0.0500
