acc=34.1667, pre=34.2220, rec=34.1667, f1=0.3417, kap=0.0125
acc=24.1667, pre=24.9074, rec=24.1667, f1=0.2364, kap=-0.1375
acc=30.8333, pre=31.2907, rec=30.8333, f1=0.3104, kap=-0.0375
acc=31.6667, pre=33.7286, rec=31.6667, f1=0.3234, kap=-0.0250
acc=29.1667, pre=29.3726, rec=29.1667, f1=0.2911, kap=-0.0625
acc=36.6667, pre=37.8049, rec=36.6667, f1=0.3703, kap=0.0500
acc=30.8333, pre=30.7400, rec=30.8333, f1=0.3078, kap=-0.0375
acc=32.5000, pre=33.3328, rec=32.5000, f1=0.3246, kap=-0.0125
acc=39.1667, pre=39.1672, rec=39.1667, f1=0.3914, kap=0.0875
acc=38.3333, pre=37.0708, rec=38.3333, f1=0.3755, kap=0.0750
acc=37.5000, pre=37.9287, rec=37.5000, f1=0.3766, kap=0.0625
acc=39.1667, pre=39.2257, rec=39.1667, f1=0.3917, kap=0.0875
acc=38.3333, pre=38.3174, rec=38.3333, f1=0.3828, kap=0.0750
acc=43.3333, pre=41.7497, rec=43.3333, f1=0.4230, kap=0.1500
acc=43.3333, pre=43.1744, rec=43.3333, f1=0.4311, kap=0.1500
acc=42.5000, pre=42.7732, rec=42.5000, f1=0.4252, kap=0.1375
acc=43.3333, pre=43.7032, rec=43.3333, f1=0.4343, kap=0.1500
acc=39.1667, pre=38.7413, rec=39.1667, f1=0.3885, kap=0.0875
acc=40.0000, pre=39.9504, rec=40.0000, f1=0.3988, kap=0.1000
acc=42.5000, pre=43.9712, rec=42.5000, f1=0.4307, kap=0.1375
acc=43.3333, pre=43.9889, rec=43.3333, f1=0.4353, kap=0.1500
acc=39.1667, pre=40.0435, rec=39.1667, f1=0.3946, kap=0.0875
acc=40.8333, pre=41.3896, rec=40.8333, f1=0.4107, kap=0.1125
acc=42.5000, pre=42.3475, rec=42.5000, f1=0.4241, kap=0.1375
acc=43.3333, pre=43.4802, rec=43.3333, f1=0.4326, kap=0.1500
acc=40.8333, pre=41.7570, rec=40.8333, f1=0.4106, kap=0.1125
acc=39.1667, pre=39.5221, rec=39.1667, f1=0.3924, kap=0.0875
acc=40.0000, pre=40.8287, rec=40.0000, f1=0.4024, kap=0.1000
acc=41.6667, pre=43.9970, rec=41.6667, f1=0.4246, kap=0.1250
acc=42.5000, pre=42.9624, rec=42.5000, f1=0.4265, kap=0.1375
acc=36.6667, pre=38.7481, rec=36.6667, f1=0.3719, kap=0.0500
acc=41.6667, pre=42.3370, rec=41.6667, f1=0.4185, kap=0.1250
acc=40.8333, pre=41.1031, rec=40.8333, f1=0.4094, kap=0.1125
acc=40.0000, pre=41.3875, rec=40.0000, f1=0.4050, kap=0.1000
acc=40.8333, pre=41.5099, rec=40.8333, f1=0.4105, kap=0.1125
acc=37.5000, pre=38.9755, rec=37.5000, f1=0.3752, kap=0.0625
acc=40.0000, pre=39.1274, rec=40.0000, f1=0.3942, kap=0.1000
acc=41.6667, pre=41.5523, rec=41.6667, f1=0.4151, kap=0.1250
acc=42.5000, pre=42.8546, rec=42.5000, f1=0.4252, kap=0.1375
acc=38.3333, pre=39.5219, rec=38.3333, f1=0.3855, kap=0.0750
acc=40.8333, pre=42.1037, rec=40.8333, f1=0.4118, kap=0.1125
acc=41.6667, pre=42.7559, rec=41.6667, f1=0.4199, kap=0.1250
acc=41.6667, pre=41.5523, rec=41.6667, f1=0.4151, kap=0.1250
acc=42.5000, pre=43.1558, rec=42.5000, f1=0.4261, kap=0.1375
acc=41.6667, pre=42.7763, rec=41.6667, f1=0.4190, kap=0.1250
acc=37.5000, pre=39.5718, rec=37.5000, f1=0.3768, kap=0.0625
acc=38.3333, pre=40.7623, rec=38.3333, f1=0.3866, kap=0.0750
acc=45.0000, pre=45.6395, rec=45.0000, f1=0.4518, kap=0.1750
acc=42.5000, pre=42.4782, rec=42.5000, f1=0.4238, kap=0.1375
acc=38.3333, pre=40.5101, rec=38.3333, f1=0.3873, kap=0.0750
acc=45.0000, pre=45.5907, rec=45.0000, f1=0.4516, kap=0.1750
acc=44.1667, pre=44.4444, rec=44.1667, f1=0.4410, kap=0.1625
acc=41.6667, pre=42.1844, rec=41.6667, f1=0.4167, kap=0.1250
acc=44.1667, pre=44.5750, rec=44.1667, f1=0.4426, kap=0.1625
acc=39.1667, pre=40.9207, rec=39.1667, f1=0.3923, kap=0.0875
acc=42.5000, pre=42.9624, rec=42.5000, f1=0.4265, kap=0.1375
acc=41.6667, pre=43.4006, rec=41.6667, f1=0.4223, kap=0.1250
acc=37.5000, pre=39.9731, rec=37.5000, f1=0.3753, kap=0.0625
acc=42.5000, pre=43.1558, rec=42.5000, f1=0.4261, kap=0.1375
acc=39.1667, pre=40.3992, rec=39.1667, f1=0.3951, kap=0.0875
acc=38.3333, pre=40.4716, rec=38.3333, f1=0.3878, kap=0.0750
acc=38.3333, pre=40.2262, rec=38.3333, f1=0.3892, kap=0.0750
acc=38.3333, pre=40.2262, rec=38.3333, f1=0.3892, kap=0.0750
acc=37.5000, pre=39.4090, rec=37.5000, f1=0.3808, kap=0.0625
acc=38.3333, pre=39.9018, rec=38.3333, f1=0.3867, kap=0.0750
acc=40.8333, pre=41.4611, rec=40.8333, f1=0.4102, kap=0.1125
acc=39.1667, pre=40.7393, rec=39.1667, f1=0.3972, kap=0.0875
acc=40.0000, pre=41.1920, rec=40.0000, f1=0.4038, kap=0.1000
acc=39.1667, pre=40.5921, rec=39.1667, f1=0.3962, kap=0.0875
acc=40.8333, pre=42.6760, rec=40.8333, f1=0.4145, kap=0.1125
acc=40.8333, pre=42.5000, rec=40.8333, f1=0.4132, kap=0.1125
acc=39.1667, pre=40.7664, rec=39.1667, f1=0.3955, kap=0.0875
acc=39.1667, pre=40.7664, rec=39.1667, f1=0.3955, kap=0.0875
acc=39.1667, pre=40.5836, rec=39.1667, f1=0.3951, kap=0.0875
acc=38.3333, pre=39.9018, rec=38.3333, f1=0.3867, kap=0.0750
acc=39.1667, pre=41.1667, rec=39.1667, f1=0.3964, kap=0.0875
acc=41.6667, pre=43.1447, rec=41.6667, f1=0.4214, kap=0.1250
acc=40.8333, pre=42.5000, rec=40.8333, f1=0.4132, kap=0.1125
acc=40.8333, pre=42.5000, rec=40.8333, f1=0.4132, kap=0.1125
acc=42.5000, pre=44.0117, rec=42.5000, f1=0.4301, kap=0.1375
acc=41.6667, pre=43.1447, rec=41.6667, f1=0.4214, kap=0.1250
acc=39.1667, pre=41.1667, rec=39.1667, f1=0.3964, kap=0.0875
acc=39.1667, pre=41.1667, rec=39.1667, f1=0.3964, kap=0.0875
acc=39.1667, pre=41.1667, rec=39.1667, f1=0.3964, kap=0.0875
acc=39.1667, pre=41.1667, rec=39.1667, f1=0.3964, kap=0.0875
acc=40.0000, pre=41.8200, rec=40.0000, f1=0.4034, kap=0.1000
acc=39.1667, pre=41.1252, rec=39.1667, f1=0.3951, kap=0.0875
acc=40.8333, pre=42.4975, rec=40.8333, f1=0.4116, kap=0.1125
acc=41.6667, pre=43.1447, rec=41.6667, f1=0.4214, kap=0.1250
acc=39.1667, pre=40.7664, rec=39.1667, f1=0.3955, kap=0.0875
acc=39.1667, pre=40.7664, rec=39.1667, f1=0.3955, kap=0.0875
acc=39.1667, pre=40.7664, rec=39.1667, f1=0.3955, kap=0.0875
acc=41.6667, pre=42.7984, rec=41.6667, f1=0.4204, kap=0.1250
acc=41.6667, pre=42.7984, rec=41.6667, f1=0.4204, kap=0.1250
acc=41.6667, pre=42.7984, rec=41.6667, f1=0.4204, kap=0.1250
acc=41.6667, pre=43.3554, rec=41.6667, f1=0.4219, kap=0.1250
acc=39.1667, pre=41.1667, rec=39.1667, f1=0.3964, kap=0.0875
acc=38.3333, pre=39.9018, rec=38.3333, f1=0.3867, kap=0.0750
acc=39.1667, pre=41.1667, rec=39.1667, f1=0.3964, kap=0.0875
