acc=40.8333, pre=40.8654, rec=40.8333, f1=0.4065, kap=0.1125
acc=40.0000, pre=39.6825, rec=40.0000, f1=0.3953, kap=0.1000
acc=40.8333, pre=39.7565, rec=40.8333, f1=0.3965, kap=0.1125
acc=40.8333, pre=40.9814, rec=40.8333, f1=0.4043, kap=0.1125
acc=42.5000, pre=42.6287, rec=42.5000, f1=0.4190, kap=0.1375
acc=42.5000, pre=42.1587, rec=42.5000, f1=0.4184, kap=0.1375
acc=44.1667, pre=44.0910, rec=44.1667, f1=0.4345, kap=0.1625
acc=43.3333, pre=43.0792, rec=43.3333, f1=0.4275, kap=0.1500
acc=44.1667, pre=43.8919, rec=44.1667, f1=0.4346, kap=0.1625
acc=41.6667, pre=42.0542, rec=41.6667, f1=0.4123, kap=0.1250
acc=43.3333, pre=43.2244, rec=43.3333, f1=0.4265, kap=0.1500
acc=43.3333, pre=43.2244, rec=43.3333, f1=0.4265, kap=0.1500
acc=43.3333, pre=43.2244, rec=43.3333, f1=0.4265, kap=0.1500
acc=43.3333, pre=43.2244, rec=43.3333, f1=0.4265, kap=0.1500
acc=43.3333, pre=43.2244, rec=43.3333, f1=0.4265, kap=0.1500
acc=43.3333, pre=43.2244, rec=43.3333, f1=0.4265, kap=0.1500
acc=43.3333, pre=43.2244, rec=43.3333, f1=0.4265, kap=0.1500
acc=42.5000, pre=42.3687, rec=42.5000, f1=0.4192, kap=0.1375
acc=42.5000, pre=42.3687, rec=42.5000, f1=0.4192, kap=0.1375
acc=42.5000, pre=42.3687, rec=42.5000, f1=0.4192, kap=0.1375
acc=42.5000, pre=42.3687, rec=42.5000, f1=0.4192, kap=0.1375
