acc=48.3333, pre=49.1867, rec=48.3333, f1=0.4783, kap=0.2250
acc=59.1667, pre=64.3039, rec=59.1667, f1=0.6027, kap=0.3875
acc=60.0000, pre=60.8333, rec=60.0000, f1=0.6031, kap=0.4000
acc=52.5000, pre=55.2083, rec=52.5000, f1=0.5345, kap=0.2875
acc=62.5000, pre=64.9860, rec=62.5000, f1=0.6323, kap=0.4375
acc=69.1667, pre=71.8270, rec=69.1667, f1=0.6996, kap=0.5375
acc=69.1667, pre=72.4017, rec=69.1667, f1=0.6996, kap=0.5375
acc=70.8333, pre=71.0282, rec=70.8333, f1=0.7092, kap=0.5625
acc=70.8333, pre=71.0282, rec=70.8333, f1=0.7092, kap=0.5625
acc=72.5000, pre=72.3410, rec=72.5000, f1=0.7241, kap=0.5875
acc=70.8333, pre=71.0282, rec=70.8333, f1=0.7092, kap=0.5625
acc=72.5000, pre=72.5120, rec=72.5000, f1=0.7250, kap=0.5875
acc=70.8333, pre=71.0312, rec=70.8333, f1=0.7091, kap=0.5625
acc=70.8333, pre=70.8656, rec=70.8333, f1=0.7084, kap=0.5625
acc=71.6667, pre=71.3617, rec=71.6667, f1=0.7149, kap=0.5750
acc=69.1667, pre=69.7716, rec=69.1667, f1=0.6937, kap=0.5375
acc=70.8333, pre=70.6002, rec=70.8333, f1=0.7067, kap=0.5625
acc=68.3333, pre=68.9406, rec=68.3333, f1=0.6849, kap=0.5250
acc=70.0000, pre=69.6571, rec=70.0000, f1=0.6974, kap=0.5500
acc=70.0000, pre=69.7230, rec=70.0000, f1=0.6981, kap=0.5500
acc=66.6667, pre=66.8794, rec=66.6667, f1=0.6667, kap=0.5000
acc=66.6667, pre=67.0299, rec=66.6667, f1=0.6668, kap=0.5000
acc=68.3333, pre=68.3646, rec=68.3333, f1=0.6834, kap=0.5250
acc=67.5000, pre=67.9808, rec=67.5000, f1=0.6759, kap=0.5125
acc=68.3333, pre=67.8051, rec=68.3333, f1=0.6802, kap=0.5250
acc=67.5000, pre=67.4582, rec=67.5000, f1=0.6745, kap=0.5125
acc=67.5000, pre=67.8571, rec=67.5000, f1=0.6759, kap=0.5125
acc=68.3333, pre=68.9406, rec=68.3333, f1=0.6849, kap=0.5250
acc=69.1667, pre=69.7716, rec=69.1667, f1=0.6937, kap=0.5375
acc=69.1667, pre=69.7716, rec=69.1667, f1=0.6937, kap=0.5375
acc=69.1667, pre=69.7716, rec=69.1667, f1=0.6937, kap=0.5375
acc=67.5000, pre=68.1128, rec=67.5000, f1=0.6775, kap=0.5125
acc=65.8333, pre=66.9175, rec=65.8333, f1=0.6615, kap=0.4875
acc=64.1667, pre=64.1135, rec=64.1667, f1=0.6413, kap=0.4625
acc=68.3333, pre=68.9406, rec=68.3333, f1=0.6849, kap=0.5250
acc=68.3333, pre=68.9406, rec=68.3333, f1=0.6849, kap=0.5250
acc=68.3333, pre=68.9406, rec=68.3333, f1=0.6849, kap=0.5250
acc=67.5000, pre=68.3113, rec=67.5000, f1=0.6769, kap=0.5125
acc=67.5000, pre=67.8571, rec=67.5000, f1=0.6759, kap=0.5125
acc=65.8333, pre=65.7477, rec=65.8333, f1=0.6576, kap=0.4875
acc=64.1667, pre=64.2145, rec=64.1667, f1=0.6409, kap=0.4625
acc=66.6667, pre=67.2575, rec=66.6667, f1=0.6687, kap=0.5000
acc=67.5000, pre=68.3418, rec=67.5000, f1=0.6777, kap=0.5125
acc=66.6667, pre=67.7305, rec=66.6667, f1=0.6698, kap=0.5000
acc=66.6667, pre=67.7305, rec=66.6667, f1=0.6698, kap=0.5000
acc=66.6667, pre=66.7736, rec=66.6667, f1=0.6670, kap=0.5000
acc=65.0000, pre=65.5951, rec=65.0000, f1=0.6509, kap=0.4750
acc=65.8333, pre=66.1942, rec=65.8333, f1=0.6596, kap=0.4875
acc=66.6667, pre=67.4830, rec=66.6667, f1=0.6679, kap=0.5000
acc=66.6667, pre=67.7305, rec=66.6667, f1=0.6698, kap=0.5000
acc=65.0000, pre=65.7796, rec=65.0000, f1=0.6519, kap=0.4750
acc=66.6667, pre=67.2575, rec=66.6667, f1=0.6687, kap=0.5000
acc=66.6667, pre=67.7305, rec=66.6667, f1=0.6698, kap=0.5000
acc=67.5000, pre=67.8571, rec=67.5000, f1=0.6759, kap=0.5125
