acc=75.0000, pre=70.8333, rec=85.0000, f1=0.7727, kap=0.5000
acc=75.0000, pre=70.8333, rec=85.0000, f1=0.7727, kap=0.5000
acc=73.3333, pre=70.0000, rec=81.6667, f1=0.7538, kap=0.4667
acc=72.5000, pre=70.1493, rec=78.3333, f1=0.7402, kap=0.4500
acc=68.3333, pre=67.1875, rec=71.6667, f1=0.6935, kap=0.3667
acc=73.3333, pre=70.5882, rec=80.0000, f1=0.7500, kap=0.4667
acc=72.5000, pre=69.5652, rec=80.0000, f1=0.7442, kap=0.4500
acc=75.8333, pre=71.2329, rec=86.6667, f1=0.7820, kap=0.5167
acc=72.5000, pre=69.0141, rec=81.6667, f1=0.7481, kap=0.4500
acc=70.8333, pre=68.6567, rec=76.6667, f1=0.7244, kap=0.4167
acc=69.1667, pre=67.6923, rec=73.3333, f1=0.7040, kap=0.3833
acc=69.1667, pre=67.6923, rec=73.3333, f1=0.7040, kap=0.3833
acc=69.1667, pre=68.2540, rec=71.6667, f1=0.6992, kap=0.3833
acc=70.0000, pre=68.7500, rec=73.3333, f1=0.7097, kap=0.4000
acc=70.0000, pre=68.1818, rec=75.0000, f1=0.7143, kap=0.4000
acc=70.0000, pre=68.1818, rec=75.0000, f1=0.7143, kap=0.4000
acc=70.0000, pre=68.1818, rec=75.0000, f1=0.7143, kap=0.4000
acc=71.6667, pre=69.1176, rec=78.3333, f1=0.7344, kap=0.4333
acc=69.1667, pre=67.6923, rec=73.3333, f1=0.7040, kap=0.3833
acc=70.0000, pre=68.7500, rec=73.3333, f1=0.7097, kap=0.4000
acc=70.0000, pre=68.1818, rec=75.0000, f1=0.7143, kap=0.4000
