acc=29.1667, pre=39.2286, rec=27.6389, f1=0.2578, kap=-0.0916
acc=26.6667, pre=18.5272, rec=30.2083, f1=0.2232, kap=-0.0361
acc=40.0000, pre=45.5093, rec=39.3750, f1=0.4130, kap=0.1022
acc=38.3333, pre=37.4010, rec=38.4028, f1=0.3770, kap=0.0735
acc=32.5000, pre=28.0897, rec=35.2778, f1=0.3005, kap=0.0264
acc=50.8333, pre=49.2063, rec=50.3472, f1=0.4963, kap=0.2569
acc=45.0000, pre=51.4193, rec=46.0417, f1=0.4355, kap=0.1971
acc=40.0000, pre=36.4957, rec=42.7083, f1=0.3548, kap=0.1255
acc=43.3333, pre=43.4959, rec=43.1944, f1=0.4297, kap=0.1521
acc=45.0000, pre=46.4438, rec=45.4861, f1=0.4286, kap=0.1764
acc=50.8333, pre=49.9670, rec=49.7917, f1=0.4926, kap=0.2532
acc=50.8333, pre=49.7073, rec=49.5833, f1=0.4956, kap=0.2494
acc=52.5000, pre=51.0998, rec=51.2500, f1=0.5116, kap=0.2779
acc=50.8333, pre=49.6873, rec=49.8611, f1=0.4974, kap=0.2551
acc=49.1667, pre=47.8124, rec=48.2639, f1=0.4783, kap=0.2304
acc=48.3333, pre=47.3806, rec=47.9167, f1=0.4741, kap=0.2211
acc=49.1667, pre=48.0609, rec=48.7500, f1=0.4814, kap=0.2330
acc=48.3333, pre=47.2708, rec=48.0556, f1=0.4733, kap=0.2211
acc=50.0000, pre=48.9581, rec=49.3056, f1=0.4900, kap=0.2450
acc=49.1667, pre=48.0609, rec=48.7500, f1=0.4814, kap=0.2330
acc=50.8333, pre=49.6344, rec=50.1389, f1=0.4974, kap=0.2569
acc=49.1667, pre=48.0609, rec=48.7500, f1=0.4814, kap=0.2330
acc=50.8333, pre=49.6344, rec=50.1389, f1=0.4974, kap=0.2569
acc=50.0000, pre=48.9101, rec=49.4444, f1=0.4899, kap=0.2456
acc=51.6667, pre=50.3639, rec=50.8333, f1=0.5047, kap=0.2683
acc=48.3333, pre=47.2984, rec=48.0556, f1=0.4737, kap=0.2218
acc=51.6667, pre=50.3639, rec=50.8333, f1=0.5047, kap=0.2683
