acc=50.0000, pre=0.0000, rec=0.0000, f1=0.0000, kap=0.0000
acc=50.0000, pre=0.0000, rec=0.0000, f1=0.0000, kap=0.0000
acc=70.8333, pre=85.7143, rec=50.0000, f1=0.6316, kap=0.4167
acc=82.5000, pre=93.3333, rec=70.0000, f1=0.8000, kap=0.6500
acc=88.3333, pre=92.5926, rec=83.3333, f1=0.8772, kap=0.7667
acc=88.3333, pre=94.2308, rec=81.6667, f1=0.8750, kap=0.7667
acc=87.5000, pre=92.4528, rec=81.6667, f1=0.8673, kap=0.7500
acc=85.8333, pre=90.5660, rec=80.0000, f1=0.8496, kap=0.7167
acc=89.1667, pre=91.2281, rec=86.6667, f1=0.8889, kap=0.7833
acc=93.3333, pre=91.9355, rec=95.0000, f1=0.9344, kap=0.8667
acc=90.0000, pre=90.0000, rec=90.0000, f1=0.9000, kap=0.8000
acc=90.8333, pre=88.8889, rec=93.3333, f1=0.9106, kap=0.8167
acc=84.1667, pre=88.6792, rec=78.3333, f1=0.8319, kap=0.6833
acc=90.8333, pre=92.9825, rec=88.3333, f1=0.9060, kap=0.8167
acc=88.3333, pre=89.6552, rec=86.6667, f1=0.8814, kap=0.7667
acc=90.8333, pre=88.8889, rec=93.3333, f1=0.9106, kap=0.8167
acc=90.8333, pre=90.1639, rec=91.6667, f1=0.9091, kap=0.8167
acc=84.1667, pre=90.1961, rec=76.6667, f1=0.8288, kap=0.6833
acc=84.1667, pre=84.7458, rec=83.3333, f1=0.8403, kap=0.6833
acc=80.0000, pre=87.5000, rec=70.0000, f1=0.7778, kap=0.6000
acc=81.6667, pre=88.0000, rec=73.3333, f1=0.8000, kap=0.6333
acc=83.3333, pre=88.4615, rec=76.6667, f1=0.8214, kap=0.6667
acc=85.0000, pre=88.8889, rec=80.0000, f1=0.8421, kap=0.7000
acc=85.8333, pre=87.7193, rec=83.3333, f1=0.8547, kap=0.7167
acc=87.5000, pre=88.1356, rec=86.6667, f1=0.8739, kap=0.7500
acc=85.8333, pre=87.7193, rec=83.3333, f1=0.8547, kap=0.7167
acc=88.3333, pre=92.5926, rec=83.3333, f1=0.8772, kap=0.7667
acc=88.3333, pre=92.5926, rec=83.3333, f1=0.8772, kap=0.7667
acc=95.8333, pre=95.0820, rec=96.6667, f1=0.9587, kap=0.9167
acc=89.1667, pre=94.3396, rec=83.3333, f1=0.8850, kap=0.7833
acc=80.8333, pre=93.0233, rec=66.6667, f1=0.7767, kap=0.6167
acc=91.6667, pre=94.6429, rec=88.3333, f1=0.9138, kap=0.8333
acc=90.0000, pre=91.3793, rec=88.3333, f1=0.8983, kap=0.8000
acc=80.0000, pre=87.5000, rec=70.0000, f1=0.7778, kap=0.6000
acc=85.0000, pre=88.8889, rec=80.0000, f1=0.8421, kap=0.7000
acc=83.3333, pre=88.4615, rec=76.6667, f1=0.8214, kap=0.6667
acc=83.3333, pre=90.0000, rec=75.0000, f1=0.8182, kap=0.6667
acc=83.3333, pre=88.4615, rec=76.6667, f1=0.8214, kap=0.6667
acc=81.6667, pre=89.5833, rec=71.6667, f1=0.7963, kap=0.6333
acc=80.0000, pre=90.9091, rec=66.6667, f1=0.7692, kap=0.6000
acc=89.1667, pre=91.2281, rec=86.6667, f1=0.8889, kap=0.7833
acc=84.1667, pre=90.1961, rec=76.6667, f1=0.8288, kap=0.6833
acc=91.6667, pre=89.0625, rec=95.0000, f1=0.9194, kap=0.8333
acc=83.3333, pre=91.6667, rec=73.3333, f1=0.8148, kap=0.6667
acc=84.1667, pre=91.8367, rec=75.0000, f1=0.8257, kap=0.6833
acc=88.3333, pre=94.2308, rec=81.6667, f1=0.8750, kap=0.7667
acc=96.6667, pre=93.7500, rec=100.0000, f1=0.9677, kap=0.9333
acc=93.3333, pre=89.3939, rec=98.3333, f1=0.9365, kap=0.8667
acc=87.5000, pre=89.4737, rec=85.0000, f1=0.8718, kap=0.7500
acc=84.1667, pre=90.1961, rec=76.6667, f1=0.8288, kap=0.6833
acc=88.3333, pre=92.5926, rec=83.3333, f1=0.8772, kap=0.7667
acc=88.3333, pre=88.3333, rec=88.3333, f1=0.8833, kap=0.7667
acc=89.1667, pre=88.5246, rec=90.0000, f1=0.8926, kap=0.7833
acc=92.5000, pre=91.8033, rec=93.3333, f1=0.9256, kap=0.8500
acc=94.1667, pre=92.0635, rec=96.6667, f1=0.9431, kap=0.8833
acc=94.1667, pre=92.0635, rec=96.6667, f1=0.9431, kap=0.8833
acc=94.1667, pre=92.0635, rec=96.6667, f1=0.9431, kap=0.8833
acc=90.8333, pre=91.5254, rec=90.0000, f1=0.9076, kap=0.8167
acc=90.0000, pre=92.8571, rec=86.6667, f1=0.8966, kap=0.8000
acc=94.1667, pre=93.4426, rec=95.0000, f1=0.9421, kap=0.8833
acc=93.3333, pre=93.3333, rec=93.3333, f1=0.9333, kap=0.8667
acc=90.0000, pre=92.8571, rec=86.6667, f1=0.8966, kap=0.8000
acc=90.0000, pre=92.8571, rec=86.6667, f1=0.8966, kap=0.8000
acc=88.3333, pre=92.5926, rec=83.3333, f1=0.8772, kap=0.7667
acc=89.1667, pre=92.7273, rec=85.0000, f1=0.8870, kap=0.7833
acc=86.6667, pre=92.3077, rec=80.0000, f1=0.8571, kap=0.7333
acc=87.5000, pre=92.4528, rec=81.6667, f1=0.8673, kap=0.7500
acc=87.5000, pre=92.4528, rec=81.6667, f1=0.8673, kap=0.7500
acc=88.3333, pre=92.5926, rec=83.3333, f1=0.8772, kap=0.7667
acc=88.3333, pre=92.5926, rec=83.3333, f1=0.8772, kap=0.7667
acc=88.3333, pre=92.5926, rec=83.3333, f1=0.8772, kap=0.7667
acc=90.0000, pre=92.8571, rec=86.6667, f1=0.8966, kap=0.8000
acc=88.3333, pre=92.5926, rec=83.3333, f1=0.8772, kap=0.7667
acc=90.0000, pre=92.8571, rec=86.6667, f1=0.8966, kap=0.8000
acc=86.6667, pre=92.3077, rec=80.0000, f1=0.8571, kap=0.7333
acc=87.5000, pre=92.4528, rec=81.6667, f1=0.8673, kap=0.7500
acc=87.5000, pre=92.4528, rec=81.6667, f1=0.8673, kap=0.7500
acc=87.5000, pre=92.4528, rec=81.6667, f1=0.8673, kap=0.7500
acc=87.5000, pre=92.4528, rec=81.6667, f1=0.8673, kap=0.7500
acc=87.5000, pre=92.4528, rec=81.6667, f1=0.8673, kap=0.7500
acc=87.5000, pre=92.4528, rec=81.6667, f1=0.8673, kap=0.7500
acc=87.5000, pre=92.4528, rec=81.6667, f1=0.8673, kap=0.7500
acc=87.5000, pre=92.4528, rec=81.6667, f1=0.8673, kap=0.7500
acc=88.3333, pre=92.5926, rec=83.3333, f1=0.8772, kap=0.7667
acc=86.6667, pre=92.3077, rec=80.0000, f1=0.8571, kap=0.7333
acc=86.6667, pre=92.3077, rec=80.0000, f1=0.8571, kap=0.7333
acc=86.6667, pre=92.3077, rec=80.0000, f1=0.8571, kap=0.7333
acc=86.6667, pre=92.3077, rec=80.0000, f1=0.8571, kap=0.7333
acc=87.5000, pre=92.4528, rec=81.6667, f1=0.8673, kap=0.7500
acc=86.6667, pre=92.3077, rec=80.0000, f1=0.8571, kap=0.7333
acc=86.6667, pre=92.3077, rec=80.0000, f1=0.8571, kap=0.7333
acc=86.6667, pre=92.3077, rec=80.0000, f1=0.8571, kap=0.7333
acc=86.6667, pre=92.3077, rec=80.0000, f1=0.8571, kap=0.7333
acc=86.6667, pre=92.3077, rec=80.0000, f1=0.8571, kap=0.7333
acc=86.6667, pre=92.3077, rec=80.0000, f1=0.8571, kap=0.7333
acc=86.6667, pre=92.3077, rec=80.0000, f1=0.8571, kap=0.7333
acc=86.6667, pre=92.3077, rec=80.0000, f1=0.8571, kap=0.7333
acc=87.5000, pre=92.4528, rec=81.6667, f1=0.8673, kap=0.7500
acc=87.5000, pre=92.4528, rec=81.6667, f1=0.8673, kap=0.7500
acc=88.3333, pre=92.5926, rec=83.3333, f1=0.8772, kap=0.7667
