acc=50.0000, pre=0.0000, rec=0.0000, f1=0.0000, kap=0.0000
acc=50.0000, pre=0.0000, rec=0.0000, f1=0.0000, kap=0.0000
acc=50.0000, pre=0.0000, rec=0.0000, f1=0.0000, kap=0.0000
acc=50.0000, pre=0.0000, rec=0.0000, f1=0.0000, kap=0.0000
acc=50.0000, pre=0.0000, rec=0.0000, f1=0.0000, kap=0.0000
acc=50.0000, pre=0.0000, rec=0.0000, f1=0.0000, kap=0.0000
acc=60.8333, pre=100.0000, rec=21.6667, f1=0.3562, kap=0.2167
acc=72.5000, pre=100.0000, rec=45.0000, f1=0.6207, kap=0.4500
acc=83.3333, pre=100.0000, rec=66.6667, f1=0.8000, kap=0.6667
acc=81.6667, pre=100.0000, rec=63.3333, f1=0.7755, kap=0.6333
acc=83.3333, pre=95.4545, rec=70.0000, f1=0.8077, kap=0.6667
acc=82.5000, pre=97.5610, rec=66.6667, f1=0.7921, kap=0.6500
acc=81.6667, pre=95.2381, rec=66.6667, f1=0.7843, kap=0.6333
acc=81.6667, pre=100.0000, rec=63.3333, f1=0.7755, kap=0.6333
acc=80.8333, pre=100.0000, rec=61.6667, f1=0.7629, kap=0.6167
acc=80.0000, pre=100.0000, rec=60.0000, f1=0.7500, kap=0.6000
acc=78.3333, pre=100.0000, rec=56.6667, f1=0.7234, kap=0.5667
acc=82.5000, pre=93.3333, rec=70.0000, f1=0.8000, kap=0.6500
acc=81.6667, pre=93.1818, rec=68.3333, f1=0.7885, kap=0.6333
acc=87.5000, pre=90.9091, rec=83.3333, f1=0.8696, kap=0.7500
acc=86.6667, pre=92.3077, rec=80.0000, f1=0.8571, kap=0.7333
acc=86.6667, pre=90.7407, rec=81.6667, f1=0.8596, kap=0.7333
acc=91.6667, pre=91.6667, rec=91.6667, f1=0.9167, kap=0.8333
acc=85.8333, pre=90.5660, rec=80.0000, f1=0.8496, kap=0.7167
acc=92.5000, pre=89.2308, rec=96.6667, f1=0.9280, kap=0.8500
acc=83.3333, pre=79.4118, rec=90.0000, f1=0.8438, kap=0.6667
acc=85.0000, pre=80.8824, rec=91.6667, f1=0.8594, kap=0.7000
acc=84.1667, pre=77.3333, rec=96.6667, f1=0.8593, kap=0.6833
acc=89.1667, pre=88.5246, rec=90.0000, f1=0.8926, kap=0.7833
acc=89.1667, pre=83.0986, rec=98.3333, f1=0.9008, kap=0.7833
acc=90.8333, pre=87.6923, rec=95.0000, f1=0.9120, kap=0.8167
acc=84.1667, pre=75.9494, rec=100.0000, f1=0.8633, kap=0.6833
acc=87.5000, pre=82.6087, rec=95.0000, f1=0.8837, kap=0.7500
acc=86.6667, pre=79.7297, rec=98.3333, f1=0.8806, kap=0.7333
acc=85.0000, pre=80.0000, rec=93.3333, f1=0.8615, kap=0.7000
acc=92.5000, pre=89.2308, rec=96.6667, f1=0.9280, kap=0.8500
acc=87.5000, pre=89.4737, rec=85.0000, f1=0.8718, kap=0.7500
acc=93.3333, pre=89.3939, rec=98.3333, f1=0.9365, kap=0.8667
acc=90.0000, pre=84.2857, rec=98.3333, f1=0.9077, kap=0.8000
acc=88.3333, pre=81.0811, rec=100.0000, f1=0.8955, kap=0.7667
acc=88.3333, pre=82.8571, rec=96.6667, f1=0.8923, kap=0.7667
acc=86.6667, pre=78.9474, rec=100.0000, f1=0.8824, kap=0.7333
acc=79.1667, pre=84.3137, rec=71.6667, f1=0.7748, kap=0.5833
acc=84.1667, pre=75.9494, rec=100.0000, f1=0.8633, kap=0.6833
acc=87.5000, pre=80.8219, rec=98.3333, f1=0.8872, kap=0.7500
acc=86.6667, pre=79.7297, rec=98.3333, f1=0.8806, kap=0.7333
acc=84.1667, pre=75.9494, rec=100.0000, f1=0.8633, kap=0.6833
acc=85.0000, pre=85.0000, rec=85.0000, f1=0.8500, kap=0.7000
acc=89.1667, pre=83.0986, rec=98.3333, f1=0.9008, kap=0.7833
acc=90.0000, pre=91.3793, rec=88.3333, f1=0.8983, kap=0.8000
acc=88.3333, pre=83.8235, rec=95.0000, f1=0.8906, kap=0.7667
acc=87.5000, pre=80.0000, rec=100.0000, f1=0.8889, kap=0.7500
acc=85.0000, pre=88.8889, rec=80.0000, f1=0.8421, kap=0.7000
acc=81.6667, pre=80.6452, rec=83.3333, f1=0.8197, kap=0.6333
acc=88.3333, pre=96.0000, rec=80.0000, f1=0.8727, kap=0.7667
acc=80.0000, pre=78.1250, rec=83.3333, f1=0.8065, kap=0.6000
acc=87.5000, pre=80.8219, rec=98.3333, f1=0.8872, kap=0.7500
acc=88.3333, pre=81.0811, rec=100.0000, f1=0.8955, kap=0.7667
acc=85.0000, pre=80.8824, rec=91.6667, f1=0.8594, kap=0.7000
acc=84.1667, pre=85.9649, rec=81.6667, f1=0.8376, kap=0.6833
acc=85.8333, pre=82.0896, rec=91.6667, f1=0.8661, kap=0.7167
acc=85.8333, pre=80.2817, rec=95.0000, f1=0.8702, kap=0.7167
acc=87.5000, pre=80.0000, rec=100.0000, f1=0.8889, kap=0.7500
acc=85.8333, pre=79.4521, rec=96.6667, f1=0.8722, kap=0.7167
acc=86.6667, pre=81.4286, rec=95.0000, f1=0.8769, kap=0.7333
acc=85.8333, pre=80.2817, rec=95.0000, f1=0.8702, kap=0.7167
acc=85.8333, pre=80.2817, rec=95.0000, f1=0.8702, kap=0.7167
acc=85.8333, pre=80.2817, rec=95.0000, f1=0.8702, kap=0.7167
acc=86.6667, pre=81.4286, rec=95.0000, f1=0.8769, kap=0.7333
acc=85.8333, pre=80.2817, rec=95.0000, f1=0.8702, kap=0.7167
acc=85.8333, pre=80.2817, rec=95.0000, f1=0.8702, kap=0.7167
