acc=60.8333, pre=65.8516, rec=63.0556, f1=0.6057, kap=0.4264
acc=61.6667, pre=67.4268, rec=63.8889, f1=0.6135, kap=0.4390
acc=62.5000, pre=67.9751, rec=64.7222, f1=0.6208, kap=0.4508
acc=62.5000, pre=68.1702, rec=65.0694, f1=0.6195, kap=0.4517
acc=58.3333, pre=63.2275, rec=60.5556, f1=0.5826, kap=0.3902
acc=58.3333, pre=64.1659, rec=60.5556, f1=0.5831, kap=0.3912
acc=63.3333, pre=68.7924, rec=65.7639, f1=0.6292, kap=0.4634
acc=62.5000, pre=68.2485, rec=64.9306, f1=0.6218, kap=0.4517
acc=58.3333, pre=64.1659, rec=60.5556, f1=0.5831, kap=0.3912
acc=59.1667, pre=65.7787, rec=61.3889, f1=0.5913, kap=0.4039
acc=63.3333, pre=68.7924, rec=65.7639, f1=0.6292, kap=0.4634
acc=63.3333, pre=68.7924, rec=65.7639, f1=0.6292, kap=0.4634
acc=63.3333, pre=68.7924, rec=65.7639, f1=0.6292, kap=0.4634
acc=62.5000, pre=68.2485, rec=64.9306, f1=0.6218, kap=0.4517
acc=62.5000, pre=68.2485, rec=64.9306, f1=0.6218, kap=0.4517
acc=60.8333, pre=65.8516, rec=63.0556, f1=0.6057, kap=0.4264
acc=61.6667, pre=67.4268, rec=63.8889, f1=0.6135, kap=0.4390
acc=61.6667, pre=67.4268, rec=63.8889, f1=0.6135, kap=0.4390
acc=60.8333, pre=65.8516, rec=63.0556, f1=0.6057, kap=0.4264
acc=61.6667, pre=67.4268, rec=63.8889, f1=0.6135, kap=0.4390
acc=62.5000, pre=67.9751, rec=64.7222, f1=0.6208, kap=0.4508
