acc=31.6667, pre=34.7222, rec=41.6667, f1=0.3788, kap=-0.3667
acc=41.6667, pre=44.3182, rec=65.0000, f1=0.5270, kap=-0.1667
acc=46.6667, pre=47.9167, rec=76.6667, f1=0.5897, kap=-0.0667
acc=75.8333, pre=76.2712, rec=75.0000, f1=0.7563, kap=0.5167
acc=42.5000, pre=44.8276, rec=65.0000, f1=0.5306, kap=-0.1500
acc=78.3333, pre=73.6111, rec=88.3333, f1=0.8030, kap=0.5667
acc=81.6667, pre=78.7879, rec=86.6667, f1=0.8254, kap=0.6333
acc=58.3333, pre=58.9286, rec=55.0000, f1=0.5690, kap=0.1667
acc=51.6667, pre=51.0638, rec=80.0000, f1=0.6234, kap=0.0333
acc=53.3333, pre=52.4390, rec=71.6667, f1=0.6056, kap=0.0667
acc=60.0000, pre=60.3448, rec=58.3333, f1=0.5932, kap=0.2000
acc=60.8333, pre=60.3175, rec=63.3333, f1=0.6179, kap=0.2167
acc=54.1667, pre=52.5253, rec=86.6667, f1=0.6541, kap=0.0833
acc=60.0000, pre=56.5217, rec=86.6667, f1=0.6842, kap=0.2000
acc=53.3333, pre=53.1250, rec=56.6667, f1=0.5484, kap=0.0667
acc=53.3333, pre=52.7778, rec=63.3333, f1=0.5758, kap=0.0667
acc=52.5000, pre=52.0000, rec=65.0000, f1=0.5778, kap=0.0500
acc=53.3333, pre=52.7027, rec=65.0000, f1=0.5821, kap=0.0667
acc=50.8333, pre=50.6667, rec=63.3333, f1=0.5630, kap=0.0167
acc=50.8333, pre=50.6667, rec=63.3333, f1=0.5630, kap=0.0167
acc=52.5000, pre=52.0548, rec=63.3333, f1=0.5714, kap=0.0500
acc=51.6667, pre=51.3158, rec=65.0000, f1=0.5735, kap=0.0333
acc=52.5000, pre=52.0000, rec=65.0000, f1=0.5778, kap=0.0500
acc=52.5000, pre=52.0000, rec=65.0000, f1=0.5778, kap=0.0500
acc=52.5000, pre=52.0000, rec=65.0000, f1=0.5778, kap=0.0500
acc=52.5000, pre=52.0000, rec=65.0000, f1=0.5778, kap=0.0500
acc=52.5000, pre=52.0000, rec=65.0000, f1=0.5778, kap=0.0500
acc=53.3333, pre=52.7027, rec=65.0000, f1=0.5821, kap=0.0667
acc=53.3333, pre=52.7027, rec=65.0000, f1=0.5821, kap=0.0667
acc=53.3333, pre=52.7027, rec=65.0000, f1=0.5821, kap=0.0667
acc=53.3333, pre=52.7027, rec=65.0000, f1=0.5821, kap=0.0667
acc=53.3333, pre=52.7027, rec=65.0000, f1=0.5821, kap=0.0667
acc=53.3333, pre=52.7027, rec=65.0000, f1=0.5821, kap=0.0667
acc=53.3333, pre=52.7027, rec=65.0000, f1=0.5821, kap=0.0667
acc=53.3333, pre=52.7027, rec=65.0000, f1=0.5821, kap=0.0667
acc=53.3333, pre=52.7027, rec=65.0000, f1=0.5821, kap=0.0667
acc=53.3333, pre=52.7027, rec=65.0000, f1=0.5821, kap=0.0667
acc=52.5000, pre=52.0000, rec=65.0000, f1=0.5778, kap=0.0500
acc=52.5000, pre=52.0000, rec=65.0000, f1=0.5778, kap=0.0500
acc=52.5000, pre=52.0000, rec=65.0000, f1=0.5778, kap=0.0500
acc=53.3333, pre=52.6316, rec=66.6667, f1=0.5882, kap=0.0667
acc=53.3333, pre=52.6316, rec=66.6667, f1=0.5882, kap=0.0667
acc=53.3333, pre=52.6316, rec=66.6667, f1=0.5882, kap=0.0667
acc=53.3333, pre=52.6316, rec=66.6667, f1=0.5882, kap=0.0667
acc=53.3333, pre=52.6316, rec=66.6667, f1=0.5882, kap=0.0667
acc=53.3333, pre=52.6316, rec=66.6667, f1=0.5882, kap=0.0667
acc=53.3333, pre=52.6316, rec=66.6667, f1=0.5882, kap=0.0667
acc=53.3333, pre=52.6316, rec=66.6667, f1=0.5882, kap=0.0667
acc=53.3333, pre=52.6316, rec=66.6667, f1=0.5882, kap=0.0667
acc=53.3333, pre=52.6316, rec=66.6667, f1=0.5882, kap=0.0667
acc=53.3333, pre=52.6316, rec=66.6667, f1=0.5882, kap=0.0667
acc=53.3333, pre=52.6316, rec=66.6667, f1=0.5882, kap=0.0667
acc=53.3333, pre=52.6316, rec=66.6667, f1=0.5882, kap=0.0667
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
