acc=30.8333, pre=23.4444, rec=30.8333, f1=0.2601, kap=-0.0375
acc=28.3333, pre=47.5689, rec=28.3333, f1=0.2267, kap=-0.0750
acc=33.3333, pre=38.7349, rec=33.3333, f1=0.3313, kap=0.0000
acc=43.3333, pre=45.0064, rec=43.3333, f1=0.4385, kap=0.1500
acc=47.5000, pre=49.0588, rec=47.5000, f1=0.4720, kap=0.2125
acc=56.6667, pre=56.4852, rec=56.6667, f1=0.5629, kap=0.3500
acc=58.3333, pre=56.7100, rec=58.3333, f1=0.5693, kap=0.3750
acc=53.3333, pre=56.3580, rec=53.3333, f1=0.5390, kap=0.3000
acc=51.6667, pre=52.6366, rec=51.6667, f1=0.5172, kap=0.2750
acc=57.5000, pre=56.9140, rec=57.5000, f1=0.5711, kap=0.3625
acc=56.6667, pre=59.9134, rec=56.6667, f1=0.5729, kap=0.3500
acc=60.8333, pre=61.8357, rec=60.8333, f1=0.6116, kap=0.4125
acc=50.8333, pre=51.4682, rec=50.8333, f1=0.5093, kap=0.2625
acc=62.5000, pre=61.5836, rec=62.5000, f1=0.6186, kap=0.4375
acc=56.6667, pre=58.1806, rec=56.6667, f1=0.5715, kap=0.3500
acc=55.0000, pre=56.7007, rec=55.0000, f1=0.5558, kap=0.3250
acc=53.3333, pre=53.6000, rec=53.3333, f1=0.5324, kap=0.3000
acc=53.3333, pre=53.6471, rec=53.3333, f1=0.5337, kap=0.3000
acc=52.5000, pre=52.1276, rec=52.5000, f1=0.5227, kap=0.2875
acc=50.8333, pre=52.2969, rec=50.8333, f1=0.5114, kap=0.2625
acc=50.0000, pre=50.4823, rec=50.0000, f1=0.5021, kap=0.2500
acc=52.5000, pre=53.3944, rec=52.5000, f1=0.5282, kap=0.2875
acc=58.3333, pre=57.8808, rec=58.3333, f1=0.5802, kap=0.3750
acc=50.0000, pre=50.4104, rec=50.0000, f1=0.5005, kap=0.2500
acc=55.0000, pre=56.2930, rec=55.0000, f1=0.5547, kap=0.3250
acc=50.8333, pre=51.7438, rec=50.8333, f1=0.5044, kap=0.2625
acc=52.5000, pre=53.9285, rec=52.5000, f1=0.5285, kap=0.2875
acc=50.0000, pre=50.6133, rec=50.0000, f1=0.4960, kap=0.2500
acc=52.5000, pre=56.1111, rec=52.5000, f1=0.5362, kap=0.2875
acc=49.1667, pre=49.6600, rec=49.1667, f1=0.4905, kap=0.2375
acc=50.8333, pre=53.1228, rec=50.8333, f1=0.5162, kap=0.2625
acc=53.3333, pre=54.3811, rec=53.3333, f1=0.5318, kap=0.3000
acc=50.8333, pre=53.7690, rec=50.8333, f1=0.5161, kap=0.2625
acc=55.0000, pre=54.7847, rec=55.0000, f1=0.5482, kap=0.3250
acc=52.5000, pre=52.7765, rec=52.5000, f1=0.5259, kap=0.2875
acc=50.0000, pre=50.6810, rec=50.0000, f1=0.5023, kap=0.2500
acc=57.5000, pre=57.8895, rec=57.5000, f1=0.5730, kap=0.3625
acc=57.5000, pre=57.5858, rec=57.5000, f1=0.5743, kap=0.3625
acc=53.3333, pre=53.6858, rec=53.3333, f1=0.5344, kap=0.3000
acc=55.0000, pre=55.0000, rec=55.0000, f1=0.5500, kap=0.3250
acc=51.6667, pre=51.8594, rec=51.6667, f1=0.5126, kap=0.2750
acc=49.1667, pre=49.6993, rec=49.1667, f1=0.4902, kap=0.2375
