acc=50.0000, pre=50.0000, rec=100.0000, f1=0.6667, kap=0.0000
acc=50.0000, pre=50.0000, rec=100.0000, f1=0.6667, kap=0.0000
acc=50.0000, pre=50.0000, rec=100.0000, f1=0.6667, kap=0.0000
acc=50.8333, pre=50.4202, rec=100.0000, f1=0.6704, kap=0.0167
acc=51.6667, pre=51.3158, rec=65.0000, f1=0.5735, kap=0.0333
acc=57.5000, pre=58.4906, rec=51.6667, f1=0.5487, kap=0.1500
acc=63.3333, pre=67.3913, rec=51.6667, f1=0.5849, kap=0.2667
acc=68.3333, pre=78.9474, rec=50.0000, f1=0.6122, kap=0.3667
acc=71.6667, pre=90.6250, rec=48.3333, f1=0.6304, kap=0.4333
acc=65.8333, pre=78.7879, rec=43.3333, f1=0.5591, kap=0.3167
acc=63.3333, pre=76.6667, rec=38.3333, f1=0.5111, kap=0.2667
acc=60.8333, pre=78.2609, rec=30.0000, f1=0.4337, kap=0.2167
acc=70.0000, pre=90.0000, rec=45.0000, f1=0.6000, kap=0.4000
acc=71.6667, pre=88.2353, rec=50.0000, f1=0.6383, kap=0.4333
acc=72.5000, pre=88.5714, rec=51.6667, f1=0.6526, kap=0.4500
acc=74.1667, pre=91.4286, rec=53.3333, f1=0.6737, kap=0.4833
acc=74.1667, pre=91.4286, rec=53.3333, f1=0.6737, kap=0.4833
acc=72.5000, pre=90.9091, rec=50.0000, f1=0.6452, kap=0.4500
acc=72.5000, pre=93.5484, rec=48.3333, f1=0.6374, kap=0.4500
acc=70.0000, pre=77.2727, rec=56.6667, f1=0.6538, kap=0.4000
acc=65.0000, pre=69.5652, rec=53.3333, f1=0.6038, kap=0.3000
acc=66.6667, pre=73.8095, rec=51.6667, f1=0.6078, kap=0.3333
acc=69.1667, pre=81.0811, rec=50.0000, f1=0.6186, kap=0.3833
acc=72.5000, pre=93.5484, rec=48.3333, f1=0.6374, kap=0.4500
acc=70.8333, pre=90.3226, rec=46.6667, f1=0.6154, kap=0.4167
acc=59.1667, pre=67.7419, rec=35.0000, f1=0.4615, kap=0.1833
acc=58.3333, pre=69.2308, rec=30.0000, f1=0.4186, kap=0.1667
acc=63.3333, pre=90.0000, rec=30.0000, f1=0.4500, kap=0.2667
acc=64.1667, pre=94.7368, rec=30.0000, f1=0.4557, kap=0.2833
acc=64.1667, pre=94.7368, rec=30.0000, f1=0.4557, kap=0.2833
acc=64.1667, pre=94.7368, rec=30.0000, f1=0.4557, kap=0.2833
acc=64.1667, pre=94.7368, rec=30.0000, f1=0.4557, kap=0.2833
acc=65.0000, pre=95.0000, rec=31.6667, f1=0.4750, kap=0.3000
acc=65.8333, pre=100.0000, rec=31.6667, f1=0.4810, kap=0.3167
acc=68.3333, pre=100.0000, rec=36.6667, f1=0.5366, kap=0.3667
acc=72.5000, pre=96.5517, rec=46.6667, f1=0.6292, kap=0.4500
acc=70.0000, pre=96.1538, rec=41.6667, f1=0.5814, kap=0.4000
