acc=44.1667, pre=46.8468, rec=86.6667, f1=0.6082, kap=-0.1167
acc=53.3333, pre=66.6667, rec=13.3333, f1=0.2222, kap=0.0667
acc=64.1667, pre=66.0377, rec=58.3333, f1=0.6195, kap=0.2833
acc=51.6667, pre=51.3158, rec=65.0000, f1=0.5735, kap=0.0333
acc=60.0000, pre=58.8235, rec=66.6667, f1=0.6250, kap=0.2000
acc=69.1667, pre=64.9351, rec=83.3333, f1=0.7299, kap=0.3833
acc=65.8333, pre=61.4458, rec=85.0000, f1=0.7133, kap=0.3167
acc=65.8333, pre=64.6154, rec=70.0000, f1=0.6720, kap=0.3167
acc=64.1667, pre=64.4068, rec=63.3333, f1=0.6387, kap=0.2833
acc=60.8333, pre=64.4444, rec=48.3333, f1=0.5524, kap=0.2167
acc=62.5000, pre=62.2951, rec=63.3333, f1=0.6281, kap=0.2500
acc=70.8333, pre=73.5849, rec=65.0000, f1=0.6903, kap=0.4167
acc=67.5000, pre=72.3404, rec=56.6667, f1=0.6355, kap=0.3500
acc=71.6667, pre=74.0741, rec=66.6667, f1=0.7018, kap=0.4333
acc=70.8333, pre=73.5849, rec=65.0000, f1=0.6903, kap=0.4167
acc=62.5000, pre=69.2308, rec=45.0000, f1=0.5455, kap=0.2500
acc=70.8333, pre=74.5098, rec=63.3333, f1=0.6847, kap=0.4167
acc=70.0000, pre=74.0000, rec=61.6667, f1=0.6727, kap=0.4000
acc=71.6667, pre=75.0000, rec=65.0000, f1=0.6964, kap=0.4333
acc=70.0000, pre=74.0000, rec=61.6667, f1=0.6727, kap=0.4000
acc=68.3333, pre=72.9167, rec=58.3333, f1=0.6481, kap=0.3667
acc=68.3333, pre=72.9167, rec=58.3333, f1=0.6481, kap=0.3667
acc=70.0000, pre=74.0000, rec=61.6667, f1=0.6727, kap=0.4000
acc=69.1667, pre=73.4694, rec=60.0000, f1=0.6606, kap=0.3833
acc=69.1667, pre=73.4694, rec=60.0000, f1=0.6606, kap=0.3833
acc=69.1667, pre=73.4694, rec=60.0000, f1=0.6606, kap=0.3833
acc=69.1667, pre=72.5490, rec=61.6667, f1=0.6667, kap=0.3833
acc=69.1667, pre=72.5490, rec=61.6667, f1=0.6667, kap=0.3833
acc=70.0000, pre=73.0769, rec=63.3333, f1=0.6786, kap=0.4000
acc=69.1667, pre=72.5490, rec=61.6667, f1=0.6667, kap=0.3833
acc=69.1667, pre=71.6981, rec=63.3333, f1=0.6726, kap=0.3833
acc=69.1667, pre=71.6981, rec=63.3333, f1=0.6726, kap=0.3833
acc=69.1667, pre=71.6981, rec=63.3333, f1=0.6726, kap=0.3833
acc=70.0000, pre=72.2222, rec=65.0000, f1=0.6842, kap=0.4000
acc=70.0000, pre=72.2222, rec=65.0000, f1=0.6842, kap=0.4000
acc=70.0000, pre=72.2222, rec=65.0000, f1=0.6842, kap=0.4000
acc=70.0000, pre=72.2222, rec=65.0000, f1=0.6842, kap=0.4000
acc=70.0000, pre=72.2222, rec=65.0000, f1=0.6842, kap=0.4000
acc=70.0000, pre=72.2222, rec=65.0000, f1=0.6842, kap=0.4000
acc=70.0000, pre=72.2222, rec=65.0000, f1=0.6842, kap=0.4000
acc=70.0000, pre=72.2222, rec=65.0000, f1=0.6842, kap=0.4000
acc=70.0000, pre=72.2222, rec=65.0000, f1=0.6842, kap=0.4000
acc=70.0000, pre=72.2222, rec=65.0000, f1=0.6842, kap=0.4000
acc=70.0000, pre=72.2222, rec=65.0000, f1=0.6842, kap=0.4000
acc=70.0000, pre=72.2222, rec=65.0000, f1=0.6842, kap=0.4000
acc=70.0000, pre=72.2222, rec=65.0000, f1=0.6842, kap=0.4000
acc=70.0000, pre=72.2222, rec=65.0000, f1=0.6842, kap=0.4000
acc=70.0000, pre=72.2222, rec=65.0000, f1=0.6842, kap=0.4000
acc=70.0000, pre=72.2222, rec=65.0000, f1=0.6842, kap=0.4000
acc=70.0000, pre=72.2222, rec=65.0000, f1=0.6842, kap=0.4000
acc=70.0000, pre=72.2222, rec=65.0000, f1=0.6842, kap=0.4000
acc=70.0000, pre=72.2222, rec=65.0000, f1=0.6842, kap=0.4000
acc=70.0000, pre=72.2222, rec=65.0000, f1=0.6842, kap=0.4000
acc=70.0000, pre=72.2222, rec=65.0000, f1=0.6842, kap=0.4000
acc=70.0000, pre=72.2222, rec=65.0000, f1=0.6842, kap=0.4000
acc=70.0000, pre=72.2222, rec=65.0000, f1=0.6842, kap=0.4000
