acc=33.3333, pre=11.7994, rec=33.3333, f1=0.1743, kap=0.0000
acc=48.3333, pre=56.2229, rec=48.3333, f1=0.4970, kap=0.2250
acc=65.8333, pre=66.2004, rec=65.8333, f1=0.6554, kap=0.4875
acc=70.8333, pre=78.6393, rec=70.8333, f1=0.6844, kap=0.5625
acc=70.8333, pre=77.2051, rec=70.8333, f1=0.6982, kap=0.5625
acc=73.3333, pre=75.5714, rec=73.3333, f1=0.7334, kap=0.6000
acc=75.8333, pre=80.1560, rec=75.8333, f1=0.7560, kap=0.6375
acc=80.0000, pre=83.2193, rec=80.0000, f1=0.7995, kap=0.7000
acc=76.6667, pre=82.1565, rec=76.6667, f1=0.7571, kap=0.6500
acc=80.0000, pre=83.3744, rec=80.0000, f1=0.8011, kap=0.7000
acc=80.0000, pre=83.0977, rec=80.0000, f1=0.7987, kap=0.7000
acc=75.8333, pre=80.4898, rec=75.8333, f1=0.7510, kap=0.6375
acc=77.5000, pre=81.7542, rec=77.5000, f1=0.7709, kap=0.6625
acc=77.5000, pre=81.7542, rec=77.5000, f1=0.7709, kap=0.6625
acc=73.3333, pre=78.9377, rec=73.3333, f1=0.7232, kap=0.6000
acc=76.6667, pre=81.0318, rec=76.6667, f1=0.7612, kap=0.6500
acc=75.8333, pre=80.5919, rec=75.8333, f1=0.7513, kap=0.6375
acc=75.0000, pre=80.5138, rec=75.0000, f1=0.7386, kap=0.6250
acc=75.0000, pre=80.5138, rec=75.0000, f1=0.7386, kap=0.6250
acc=75.8333, pre=80.5919, rec=75.8333, f1=0.7513, kap=0.6375
acc=75.8333, pre=80.4898, rec=75.8333, f1=0.7510, kap=0.6375
acc=76.6667, pre=81.0318, rec=76.6667, f1=0.7612, kap=0.6500
acc=74.1667, pre=79.6180, rec=74.1667, f1=0.7307, kap=0.6125
acc=75.0000, pre=80.3459, rec=75.0000, f1=0.7383, kap=0.6250
acc=75.0000, pre=80.3459, rec=75.0000, f1=0.7383, kap=0.6250
acc=73.3333, pre=78.9020, rec=73.3333, f1=0.7231, kap=0.6000
acc=73.3333, pre=78.9020, rec=73.3333, f1=0.7231, kap=0.6000
acc=73.3333, pre=78.6315, rec=73.3333, f1=0.7257, kap=0.6000
acc=73.3333, pre=78.9020, rec=73.3333, f1=0.7231, kap=0.6000
acc=72.5000, pre=78.1961, rec=72.5000, f1=0.7155, kap=0.5875
acc=73.3333, pre=78.6315, rec=73.3333, f1=0.7257, kap=0.6000
acc=72.5000, pre=78.1961, rec=72.5000, f1=0.7155, kap=0.5875
acc=73.3333, pre=78.9020, rec=73.3333, f1=0.7231, kap=0.6000
acc=73.3333, pre=78.9020, rec=73.3333, f1=0.7231, kap=0.6000
acc=72.5000, pre=78.1961, rec=72.5000, f1=0.7155, kap=0.5875
acc=73.3333, pre=78.6315, rec=73.3333, f1=0.7257, kap=0.6000
acc=73.3333, pre=78.6315, rec=73.3333, f1=0.7257, kap=0.6000
acc=72.5000, pre=78.1961, rec=72.5000, f1=0.7155, kap=0.5875
acc=73.3333, pre=78.6315, rec=73.3333, f1=0.7257, kap=0.6000
