acc=78.3333, pre=80.6457, rec=78.3333, f1=0.7857, kap=0.6750
acc=78.3333, pre=80.1112, rec=78.3333, f1=0.7847, kap=0.6750
acc=76.6667, pre=78.3955, rec=76.6667, f1=0.7674, kap=0.6500
acc=78.3333, pre=80.1112, rec=78.3333, f1=0.7847, kap=0.6750
acc=77.5000, pre=79.4961, rec=77.5000, f1=0.7765, kap=0.6625
acc=76.6667, pre=78.3955, rec=76.6667, f1=0.7674, kap=0.6500
acc=76.6667, pre=78.3955, rec=76.6667, f1=0.7674, kap=0.6500
acc=76.6667, pre=78.3955, rec=76.6667, f1=0.7674, kap=0.6500
acc=76.6667, pre=78.3955, rec=76.6667, f1=0.7674, kap=0.6500
acc=78.3333, pre=80.1112, rec=78.3333, f1=0.7847, kap=0.6750
acc=76.6667, pre=78.3955, rec=76.6667, f1=0.7674, kap=0.6500
acc=77.5000, pre=79.4961, rec=77.5000, f1=0.7765, kap=0.6625
acc=77.5000, pre=79.4961, rec=77.5000, f1=0.7765, kap=0.6625
acc=77.5000, pre=79.4961, rec=77.5000, f1=0.7765, kap=0.6625
acc=77.5000, pre=80.0472, rec=77.5000, f1=0.7776, kap=0.6625
acc=77.5000, pre=80.0472, rec=77.5000, f1=0.7776, kap=0.6625
acc=77.5000, pre=80.0472, rec=77.5000, f1=0.7776, kap=0.6625
acc=77.5000, pre=80.0472, rec=77.5000, f1=0.7776, kap=0.6625
acc=78.3333, pre=80.6457, rec=78.3333, f1=0.7857, kap=0.6750
acc=77.5000, pre=79.4961, rec=77.5000, f1=0.7765, kap=0.6625
acc=76.6667, pre=78.3955, rec=76.6667, f1=0.7674, kap=0.6500
