acc=50.0000, pre=0.0000, rec=0.0000, f1=0.0000, kap=0.0000
acc=50.0000, pre=0.0000, rec=0.0000, f1=0.0000, kap=0.0000
acc=49.1667, pre=0.0000, rec=0.0000, f1=0.0000, kap=-0.0167
acc=56.6667, pre=65.3846, rec=28.3333, f1=0.3953, kap=0.1333
acc=65.8333, pre=68.6275, rec=58.3333, f1=0.6306, kap=0.3167
acc=60.0000, pre=58.8235, rec=66.6667, f1=0.6250, kap=0.2000
acc=59.1667, pre=57.9710, rec=66.6667, f1=0.6202, kap=0.1833
acc=69.1667, pre=70.1754, rec=66.6667, f1=0.6838, kap=0.3833
acc=60.8333, pre=59.7015, rec=66.6667, f1=0.6299, kap=0.2167
acc=68.3333, pre=68.3333, rec=68.3333, f1=0.6833, kap=0.3667
acc=66.6667, pre=66.1290, rec=68.3333, f1=0.6721, kap=0.3333
acc=70.0000, pre=67.6471, rec=76.6667, f1=0.7188, kap=0.4000
acc=65.8333, pre=63.7681, rec=73.3333, f1=0.6822, kap=0.3167
acc=69.1667, pre=66.6667, rec=76.6667, f1=0.7132, kap=0.3833
acc=78.3333, pre=72.3684, rec=91.6667, f1=0.8088, kap=0.5667
acc=73.3333, pre=67.0732, rec=91.6667, f1=0.7746, kap=0.4667
acc=74.1667, pre=67.9012, rec=91.6667, f1=0.7801, kap=0.4833
acc=71.6667, pre=65.4762, rec=91.6667, f1=0.7639, kap=0.4333
acc=74.1667, pre=66.2921, rec=98.3333, f1=0.7919, kap=0.4833
acc=75.0000, pre=67.0455, rec=98.3333, f1=0.7973, kap=0.5000
acc=76.6667, pre=69.0476, rec=96.6667, f1=0.8056, kap=0.5333
acc=75.0000, pre=67.4419, rec=96.6667, f1=0.7945, kap=0.5000
acc=73.3333, pre=67.9487, rec=88.3333, f1=0.7681, kap=0.4667
acc=69.1667, pre=66.1972, rec=78.3333, f1=0.7176, kap=0.3833
acc=70.8333, pre=67.1233, rec=81.6667, f1=0.7368, kap=0.4167
acc=73.3333, pre=73.3333, rec=73.3333, f1=0.7333, kap=0.4667
acc=78.3333, pre=71.2500, rec=95.0000, f1=0.8143, kap=0.5667
acc=68.3333, pre=64.8649, rec=80.0000, f1=0.7164, kap=0.3667
acc=75.0000, pre=68.2927, rec=93.3333, f1=0.7887, kap=0.5000
acc=70.0000, pre=69.3548, rec=71.6667, f1=0.7049, kap=0.4000
acc=75.8333, pre=69.6203, rec=91.6667, f1=0.7914, kap=0.5167
acc=62.5000, pre=58.8235, rec=83.3333, f1=0.6897, kap=0.2500
acc=70.8333, pre=68.6567, rec=76.6667, f1=0.7244, kap=0.4167
acc=70.0000, pre=69.3548, rec=71.6667, f1=0.7049, kap=0.4000
acc=66.6667, pre=65.1515, rec=71.6667, f1=0.6825, kap=0.3333
acc=66.6667, pre=64.2857, rec=75.0000, f1=0.6923, kap=0.3333
acc=71.6667, pre=67.5676, rec=83.3333, f1=0.7463, kap=0.4333
acc=62.5000, pre=60.0000, rec=75.0000, f1=0.6667, kap=0.2500
acc=63.3333, pre=60.8108, rec=75.0000, f1=0.6716, kap=0.2667
acc=64.1667, pre=60.7595, rec=80.0000, f1=0.6906, kap=0.2833
acc=61.6667, pre=60.9375, rec=65.0000, f1=0.6290, kap=0.2333
acc=56.6667, pre=58.3333, rec=46.6667, f1=0.5185, kap=0.1333
acc=55.0000, pre=55.7692, rec=48.3333, f1=0.5179, kap=0.1000
acc=58.3333, pre=61.9048, rec=43.3333, f1=0.5098, kap=0.1667
acc=53.3333, pre=53.4483, rec=51.6667, f1=0.5254, kap=0.0667
acc=60.8333, pre=61.8182, rec=56.6667, f1=0.5913, kap=0.2167
acc=63.3333, pre=66.0000, rec=55.0000, f1=0.6000, kap=0.2667
acc=51.6667, pre=51.9231, rec=45.0000, f1=0.4821, kap=0.0333
acc=60.8333, pre=63.8298, rec=50.0000, f1=0.5607, kap=0.2167
acc=52.5000, pre=53.0612, rec=43.3333, f1=0.4771, kap=0.0500
acc=56.6667, pre=57.4074, rec=51.6667, f1=0.5439, kap=0.1333
acc=55.0000, pre=55.7692, rec=48.3333, f1=0.5179, kap=0.1000
acc=53.3333, pre=53.8462, rec=46.6667, f1=0.5000, kap=0.0667
acc=54.1667, pre=54.0984, rec=55.0000, f1=0.5455, kap=0.0833
acc=52.5000, pre=52.7273, rec=48.3333, f1=0.5043, kap=0.0500
acc=53.3333, pre=53.4483, rec=51.6667, f1=0.5254, kap=0.0667
acc=54.1667, pre=54.7170, rec=48.3333, f1=0.5133, kap=0.0833
acc=55.0000, pre=55.7692, rec=48.3333, f1=0.5179, kap=0.1000
acc=54.1667, pre=54.5455, rec=50.0000, f1=0.5217, kap=0.0833
acc=54.1667, pre=55.3191, rec=43.3333, f1=0.4860, kap=0.0833
acc=55.8333, pre=56.8627, rec=48.3333, f1=0.5225, kap=0.1167
acc=55.0000, pre=55.7692, rec=48.3333, f1=0.5179, kap=0.1000
acc=55.8333, pre=56.6038, rec=50.0000, f1=0.5310, kap=0.1167
acc=55.0000, pre=55.7692, rec=48.3333, f1=0.5179, kap=0.1000
acc=56.6667, pre=58.0000, rec=48.3333, f1=0.5273, kap=0.1333
acc=55.8333, pre=56.8627, rec=48.3333, f1=0.5225, kap=0.1167
acc=55.8333, pre=56.8627, rec=48.3333, f1=0.5225, kap=0.1167
acc=55.8333, pre=56.8627, rec=48.3333, f1=0.5225, kap=0.1167
acc=55.0000, pre=55.7692, rec=48.3333, f1=0.5179, kap=0.1000
acc=55.0000, pre=55.7692, rec=48.3333, f1=0.5179, kap=0.1000
acc=55.8333, pre=56.8627, rec=48.3333, f1=0.5225, kap=0.1167
acc=55.0000, pre=55.7692, rec=48.3333, f1=0.5179, kap=0.1000
acc=55.0000, pre=55.7692, rec=48.3333, f1=0.5179, kap=0.1000
acc=55.8333, pre=56.8627, rec=48.3333, f1=0.5225, kap=0.1167
acc=56.6667, pre=58.0000, rec=48.3333, f1=0.5273, kap=0.1333
acc=57.5000, pre=58.8235, rec=50.0000, f1=0.5405, kap=0.1500
acc=56.6667, pre=57.6923, rec=50.0000, f1=0.5357, kap=0.1333
acc=56.6667, pre=57.6923, rec=50.0000, f1=0.5357, kap=0.1333
acc=57.5000, pre=58.8235, rec=50.0000, f1=0.5405, kap=0.1500
acc=56.6667, pre=57.6923, rec=50.0000, f1=0.5357, kap=0.1333
acc=56.6667, pre=57.6923, rec=50.0000, f1=0.5357, kap=0.1333
acc=56.6667, pre=57.6923, rec=50.0000, f1=0.5357, kap=0.1333
acc=56.6667, pre=57.6923, rec=50.0000, f1=0.5357, kap=0.1333
acc=56.6667, pre=57.6923, rec=50.0000, f1=0.5357, kap=0.1333
acc=57.5000, pre=58.8235, rec=50.0000, f1=0.5405, kap=0.1500
acc=57.5000, pre=58.8235, rec=50.0000, f1=0.5405, kap=0.1500
acc=57.5000, pre=58.8235, rec=50.0000, f1=0.5405, kap=0.1500
acc=56.6667, pre=57.6923, rec=50.0000, f1=0.5357, kap=0.1333
acc=56.6667, pre=57.6923, rec=50.0000, f1=0.5357, kap=0.1333
acc=56.6667, pre=57.6923, rec=50.0000, f1=0.5357, kap=0.1333
acc=56.6667, pre=57.6923, rec=50.0000, f1=0.5357, kap=0.1333
acc=56.6667, pre=57.6923, rec=50.0000, f1=0.5357, kap=0.1333
