acc=25.0000, pre=11.3516, rec=25.0000, f1=0.1500, kap=-0.1250
acc=29.1667, pre=17.8977, rec=29.1667, f1=0.2106, kap=-0.0625
acc=37.5000, pre=26.9063, rec=37.5000, f1=0.2657, kap=0.0625
acc=48.3333, pre=50.9380, rec=48.3333, f1=0.4158, kap=0.2250
acc=56.6667, pre=57.3443, rec=56.6667, f1=0.5411, kap=0.3500
acc=62.5000, pre=67.8571, rec=62.5000, f1=0.6267, kap=0.4375
acc=56.6667, pre=67.4494, rec=56.6667, f1=0.5662, kap=0.3500
acc=58.3333, pre=57.6786, rec=58.3333, f1=0.5745, kap=0.3750
acc=67.5000, pre=67.2657, rec=67.5000, f1=0.6736, kap=0.5125
acc=65.8333, pre=66.4613, rec=65.8333, f1=0.6487, kap=0.4875
acc=68.3333, pre=68.8666, rec=68.3333, f1=0.6665, kap=0.5250
acc=72.5000, pre=72.6690, rec=72.5000, f1=0.7117, kap=0.5875
acc=59.1667, pre=59.1639, rec=59.1667, f1=0.5496, kap=0.3875
acc=66.6667, pre=65.0411, rec=66.6667, f1=0.6205, kap=0.5000
acc=67.5000, pre=67.4655, rec=67.5000, f1=0.6339, kap=0.5125
acc=63.3333, pre=68.9815, rec=63.3333, f1=0.6004, kap=0.4500
acc=70.0000, pre=79.5139, rec=70.0000, f1=0.6426, kap=0.5500
acc=70.8333, pre=80.0754, rec=70.8333, f1=0.6572, kap=0.5625
acc=70.8333, pre=74.0108, rec=70.8333, f1=0.6715, kap=0.5625
acc=74.1667, pre=77.8283, rec=74.1667, f1=0.7169, kap=0.6125
acc=75.8333, pre=80.7362, rec=75.8333, f1=0.7366, kap=0.6375
acc=75.0000, pre=77.6469, rec=75.0000, f1=0.7288, kap=0.6250
acc=75.0000, pre=77.2963, rec=75.0000, f1=0.7310, kap=0.6250
acc=73.3333, pre=76.2888, rec=73.3333, f1=0.7067, kap=0.6000
acc=74.1667, pre=76.7426, rec=74.1667, f1=0.7170, kap=0.6125
acc=75.0000, pre=76.2859, rec=75.0000, f1=0.7353, kap=0.6250
acc=74.1667, pre=76.1715, rec=74.1667, f1=0.7283, kap=0.6125
acc=74.1667, pre=76.1715, rec=74.1667, f1=0.7283, kap=0.6125
acc=80.0000, pre=80.0564, rec=80.0000, f1=0.7961, kap=0.7000
acc=78.3333, pre=78.4471, rec=78.3333, f1=0.7790, kap=0.6750
acc=74.1667, pre=75.2976, rec=74.1667, f1=0.7338, kap=0.6125
acc=74.1667, pre=74.6209, rec=74.1667, f1=0.7302, kap=0.6125
acc=78.3333, pre=78.0286, rec=78.3333, f1=0.7792, kap=0.6750
acc=77.5000, pre=77.3546, rec=77.5000, f1=0.7689, kap=0.6625
acc=75.8333, pre=76.3993, rec=75.8333, f1=0.7448, kap=0.6375
acc=77.5000, pre=77.2917, rec=77.5000, f1=0.7686, kap=0.6625
acc=72.5000, pre=72.7583, rec=72.5000, f1=0.7132, kap=0.5875
acc=70.8333, pre=72.1337, rec=70.8333, f1=0.6972, kap=0.5625
acc=72.5000, pre=72.7583, rec=72.5000, f1=0.7132, kap=0.5875
acc=85.0000, pre=84.8120, rec=85.0000, f1=0.8487, kap=0.7750
acc=82.5000, pre=83.0273, rec=82.5000, f1=0.8265, kap=0.7375
acc=85.0000, pre=85.3881, rec=85.0000, f1=0.8511, kap=0.7750
acc=74.1667, pre=74.8260, rec=74.1667, f1=0.7316, kap=0.6125
acc=71.6667, pre=73.2888, rec=71.6667, f1=0.7045, kap=0.5750
acc=85.0000, pre=85.2632, rec=85.0000, f1=0.8503, kap=0.7750
acc=76.6667, pre=79.8950, rec=76.6667, f1=0.7615, kap=0.6500
acc=82.5000, pre=83.8015, rec=82.5000, f1=0.8240, kap=0.7375
acc=79.1667, pre=83.9550, rec=79.1667, f1=0.7757, kap=0.6875
acc=78.3333, pre=82.1884, rec=78.3333, f1=0.7761, kap=0.6750
acc=75.8333, pre=85.2644, rec=75.8333, f1=0.7538, kap=0.6375
acc=80.8333, pre=85.0783, rec=80.8333, f1=0.8135, kap=0.7125
acc=74.1667, pre=79.7932, rec=74.1667, f1=0.7371, kap=0.6125
acc=80.8333, pre=83.7142, rec=80.8333, f1=0.7891, kap=0.7125
acc=78.3333, pre=81.8237, rec=78.3333, f1=0.7751, kap=0.6750
acc=75.8333, pre=80.0709, rec=75.8333, f1=0.7555, kap=0.6375
acc=79.1667, pre=81.6069, rec=79.1667, f1=0.7803, kap=0.6875
acc=80.8333, pre=83.4939, rec=80.8333, f1=0.7947, kap=0.7125
acc=76.6667, pre=82.0380, rec=76.6667, f1=0.7555, kap=0.6500
acc=80.8333, pre=84.3290, rec=80.8333, f1=0.8120, kap=0.7125
acc=78.3333, pre=85.5952, rec=78.3333, f1=0.7793, kap=0.6750
acc=80.0000, pre=85.0926, rec=80.0000, f1=0.7978, kap=0.7000
acc=82.5000, pre=85.5619, rec=82.5000, f1=0.8274, kap=0.7375
acc=84.1667, pre=86.6809, rec=84.1667, f1=0.8451, kap=0.7625
acc=84.1667, pre=87.1823, rec=84.1667, f1=0.8451, kap=0.7625
acc=81.6667, pre=85.0498, rec=81.6667, f1=0.8190, kap=0.7250
acc=79.1667, pre=82.9735, rec=79.1667, f1=0.7919, kap=0.6875
acc=81.6667, pre=85.0498, rec=81.6667, f1=0.8190, kap=0.7250
acc=81.6667, pre=85.0498, rec=81.6667, f1=0.8190, kap=0.7250
acc=82.5000, pre=86.1607, rec=82.5000, f1=0.8287, kap=0.7375
acc=80.0000, pre=84.0474, rec=80.0000, f1=0.8019, kap=0.7000
acc=81.6667, pre=85.0498, rec=81.6667, f1=0.8190, kap=0.7250
acc=84.1667, pre=87.1823, rec=84.1667, f1=0.8451, kap=0.7625
acc=84.1667, pre=87.1823, rec=84.1667, f1=0.8451, kap=0.7625
acc=84.1667, pre=86.5553, rec=84.1667, f1=0.8437, kap=0.7625
acc=84.1667, pre=87.1823, rec=84.1667, f1=0.8451, kap=0.7625
acc=84.1667, pre=87.1823, rec=84.1667, f1=0.8451, kap=0.7625
acc=82.5000, pre=86.1607, rec=82.5000, f1=0.8287, kap=0.7375
acc=83.3333, pre=86.0831, rec=83.3333, f1=0.8357, kap=0.7500
acc=85.8333, pre=87.7297, rec=85.8333, f1=0.8612, kap=0.7875
acc=84.1667, pre=87.1823, rec=84.1667, f1=0.8451, kap=0.7625
acc=80.8333, pre=85.3095, rec=80.8333, f1=0.8098, kap=0.7125
acc=80.8333, pre=85.3095, rec=80.8333, f1=0.8098, kap=0.7125
acc=82.5000, pre=86.1607, rec=82.5000, f1=0.8287, kap=0.7375
acc=84.1667, pre=87.1823, rec=84.1667, f1=0.8451, kap=0.7625
acc=84.1667, pre=87.1823, rec=84.1667, f1=0.8451, kap=0.7625
acc=84.1667, pre=87.1823, rec=84.1667, f1=0.8451, kap=0.7625
acc=84.1667, pre=87.1823, rec=84.1667, f1=0.8451, kap=0.7625
acc=80.8333, pre=85.3095, rec=80.8333, f1=0.8098, kap=0.7125
acc=81.6667, pre=86.4017, rec=81.6667, f1=0.8198, kap=0.7250
acc=84.1667, pre=87.1823, rec=84.1667, f1=0.8451, kap=0.7625
acc=83.3333, pre=86.6667, rec=83.3333, f1=0.8369, kap=0.7500
acc=84.1667, pre=87.1823, rec=84.1667, f1=0.8451, kap=0.7625
acc=84.1667, pre=87.7976, rec=84.1667, f1=0.8449, kap=0.7625
acc=84.1667, pre=87.7976, rec=84.1667, f1=0.8449, kap=0.7625
acc=84.1667, pre=87.1823, rec=84.1667, f1=0.8451, kap=0.7625
acc=84.1667, pre=87.1823, rec=84.1667, f1=0.8451, kap=0.7625
acc=84.1667, pre=87.1823, rec=84.1667, f1=0.8451, kap=0.7625
acc=84.1667, pre=87.1823, rec=84.1667, f1=0.8451, kap=0.7625
acc=84.1667, pre=87.1823, rec=84.1667, f1=0.8451, kap=0.7625
acc=84.1667, pre=87.1823, rec=84.1667, f1=0.8451, kap=0.7625
