acc=70.8333, pre=72.5336, rec=71.5774, f1=0.7104, kap=0.5501
acc=69.1667, pre=71.9048, rec=69.0476, f1=0.6887, kap=0.5195
acc=69.1667, pre=71.9048, rec=69.0476, f1=0.6879, kap=0.5207
acc=69.1667, pre=71.9403, rec=69.0476, f1=0.6872, kap=0.5220
acc=70.0000, pre=72.6285, rec=70.0893, f1=0.6975, kap=0.5361
acc=70.0000, pre=72.6285, rec=70.0893, f1=0.6975, kap=0.5361
acc=70.8333, pre=73.6858, rec=71.1310, f1=0.7044, kap=0.5524
acc=70.0000, pre=72.6285, rec=70.0893, f1=0.6975, kap=0.5361
acc=70.0000, pre=72.5589, rec=70.0893, f1=0.6990, kap=0.5337
acc=70.0000, pre=72.5589, rec=70.0893, f1=0.6990, kap=0.5337
acc=70.8333, pre=72.5336, rec=71.5774, f1=0.7104, kap=0.5501
acc=70.8333, pre=72.5336, rec=71.5774, f1=0.7104, kap=0.5501
acc=70.8333, pre=72.6909, rec=71.5774, f1=0.7091, kap=0.5524
acc=70.8333, pre=72.6909, rec=71.5774, f1=0.7091, kap=0.5524
acc=70.0000, pre=72.5589, rec=70.0893, f1=0.6990, kap=0.5337
acc=69.1667, pre=71.2134, rec=69.4940, f1=0.6893, kap=0.5244
acc=69.1667, pre=71.2134, rec=69.4940, f1=0.6893, kap=0.5244
acc=70.0000, pre=71.9517, rec=70.5357, f1=0.6993, kap=0.5385
acc=70.8333, pre=72.8286, rec=71.5774, f1=0.7086, kap=0.5536
acc=70.0000, pre=72.0678, rec=70.5357, f1=0.6988, kap=0.5396
acc=70.8333, pre=72.5336, rec=71.5774, f1=0.7104, kap=0.5501
