acc=47.5000, pre=47.6190, rec=50.0000, f1=0.4878, kap=-0.0500
acc=50.0000, pre=50.0000, rec=50.0000, f1=0.5000, kap=0.0000
acc=48.3333, pre=48.2759, rec=46.6667, f1=0.4746, kap=-0.0333
acc=50.0000, pre=50.0000, rec=51.6667, f1=0.5082, kap=0.0000
acc=49.1667, pre=49.2063, rec=51.6667, f1=0.5041, kap=-0.0167
acc=50.0000, pre=50.0000, rec=58.3333, f1=0.5385, kap=0.0000
acc=45.8333, pre=46.8354, rec=61.6667, f1=0.5324, kap=-0.0833
acc=44.1667, pre=45.6790, rec=61.6667, f1=0.5248, kap=-0.1167
acc=45.0000, pre=46.5116, rec=66.6667, f1=0.5479, kap=-0.1000
acc=42.5000, pre=44.4444, rec=60.0000, f1=0.5106, kap=-0.1500
acc=40.8333, pre=44.0860, rec=68.3333, f1=0.5359, kap=-0.1833
acc=44.1667, pre=45.4545, rec=58.3333, f1=0.5109, kap=-0.1167
acc=40.8333, pre=43.6782, rec=63.3333, f1=0.5170, kap=-0.1833
acc=40.8333, pre=43.6782, rec=63.3333, f1=0.5170, kap=-0.1833
acc=38.3333, pre=42.2222, rec=63.3333, f1=0.5067, kap=-0.2333
acc=39.1667, pre=42.3529, rec=60.0000, f1=0.4966, kap=-0.2167
acc=40.0000, pre=43.1818, rec=63.3333, f1=0.5135, kap=-0.2000
acc=39.1667, pre=42.6966, rec=63.3333, f1=0.5101, kap=-0.2167
acc=40.0000, pre=43.3333, rec=65.0000, f1=0.5200, kap=-0.2000
acc=40.0000, pre=43.3333, rec=65.0000, f1=0.5200, kap=-0.2000
acc=41.6667, pre=44.4444, rec=66.6667, f1=0.5333, kap=-0.1667
acc=41.6667, pre=44.3182, rec=65.0000, f1=0.5270, kap=-0.1667
acc=43.3333, pre=45.5556, rec=68.3333, f1=0.5467, kap=-0.1333
acc=41.6667, pre=44.4444, rec=66.6667, f1=0.5333, kap=-0.1667
acc=41.6667, pre=44.3182, rec=65.0000, f1=0.5270, kap=-0.1667
acc=41.6667, pre=44.4444, rec=66.6667, f1=0.5333, kap=-0.1667
acc=40.0000, pre=43.1818, rec=63.3333, f1=0.5135, kap=-0.2000
acc=40.8333, pre=43.9560, rec=66.6667, f1=0.5298, kap=-0.1833
acc=42.5000, pre=45.1613, rec=70.0000, f1=0.5490, kap=-0.1500
acc=40.0000, pre=43.1818, rec=63.3333, f1=0.5135, kap=-0.2000
acc=42.5000, pre=45.2632, rec=71.6667, f1=0.5548, kap=-0.1500
acc=38.3333, pre=41.8605, rec=60.0000, f1=0.4932, kap=-0.2333
acc=44.1667, pre=46.0674, rec=68.3333, f1=0.5503, kap=-0.1167
acc=42.5000, pre=44.9438, rec=66.6667, f1=0.5369, kap=-0.1500
acc=45.8333, pre=47.3118, rec=73.3333, f1=0.5752, kap=-0.0833
acc=41.6667, pre=44.6809, rec=70.0000, f1=0.5455, kap=-0.1667
acc=39.1667, pre=42.6966, rec=63.3333, f1=0.5101, kap=-0.2167
acc=44.1667, pre=45.5696, rec=60.0000, f1=0.5180, kap=-0.1167
acc=47.5000, pre=48.2353, rec=68.3333, f1=0.5655, kap=-0.0500
acc=44.1667, pre=45.9770, rec=66.6667, f1=0.5442, kap=-0.1167
acc=39.1667, pre=41.9753, rec=56.6667, f1=0.4823, kap=-0.2167
acc=42.5000, pre=44.7059, rec=63.3333, f1=0.5241, kap=-0.1500
acc=45.8333, pre=47.2527, rec=71.6667, f1=0.5695, kap=-0.0833
acc=45.8333, pre=46.9880, rec=65.0000, f1=0.5455, kap=-0.0833
acc=45.0000, pre=46.5909, rec=68.3333, f1=0.5541, kap=-0.1000
acc=41.6667, pre=44.3182, rec=65.0000, f1=0.5270, kap=-0.1667
acc=38.3333, pre=41.4634, rec=56.6667, f1=0.4789, kap=-0.2333
acc=43.3333, pre=45.0000, rec=60.0000, f1=0.5143, kap=-0.1333
acc=46.6667, pre=47.6744, rec=68.3333, f1=0.5616, kap=-0.0667
acc=36.6667, pre=40.4762, rec=56.6667, f1=0.4722, kap=-0.2667
acc=38.3333, pre=41.4634, rec=56.6667, f1=0.4789, kap=-0.2333
acc=45.0000, pre=46.6667, rec=70.0000, f1=0.5600, kap=-0.1000
acc=40.0000, pre=42.1053, rec=53.3333, f1=0.4706, kap=-0.2000
acc=40.0000, pre=42.1053, rec=53.3333, f1=0.4706, kap=-0.2000
acc=41.6667, pre=43.4211, rec=55.0000, f1=0.4853, kap=-0.1667
acc=41.6667, pre=44.0476, rec=61.6667, f1=0.5139, kap=-0.1667
acc=40.0000, pre=42.6829, rec=58.3333, f1=0.4930, kap=-0.2000
acc=41.6667, pre=43.0556, rec=51.6667, f1=0.4697, kap=-0.1667
acc=45.8333, pre=46.4789, rec=55.0000, f1=0.5038, kap=-0.0833
acc=45.8333, pre=46.5753, rec=56.6667, f1=0.5113, kap=-0.0833
acc=43.3333, pre=44.7368, rec=56.6667, f1=0.5000, kap=-0.1333
acc=44.1667, pre=45.3333, rec=56.6667, f1=0.5037, kap=-0.1167
acc=43.3333, pre=44.5946, rec=55.0000, f1=0.4925, kap=-0.1333
acc=45.8333, pre=46.4789, rec=55.0000, f1=0.5038, kap=-0.0833
acc=44.1667, pre=44.9275, rec=51.6667, f1=0.4806, kap=-0.1167
acc=41.6667, pre=42.4242, rec=46.6667, f1=0.4444, kap=-0.1667
acc=43.3333, pre=43.9394, rec=48.3333, f1=0.4603, kap=-0.1333
acc=42.5000, pre=43.2836, rec=48.3333, f1=0.4567, kap=-0.1500
acc=42.5000, pre=43.2836, rec=48.3333, f1=0.4567, kap=-0.1500
