acc=50.0000, pre=50.0000, rec=100.0000, f1=0.6667, kap=0.0000
acc=50.8333, pre=50.6667, rec=63.3333, f1=0.5630, kap=0.0167
acc=50.8333, pre=60.0000, rec=5.0000, f1=0.0923, kap=0.0167
acc=52.5000, pre=52.0548, rec=63.3333, f1=0.5714, kap=0.0500
acc=66.6667, pre=70.0000, rec=58.3333, f1=0.6364, kap=0.3333
acc=71.6667, pre=71.6667, rec=71.6667, f1=0.7167, kap=0.4333
acc=72.5000, pre=69.0141, rec=81.6667, f1=0.7481, kap=0.4500
acc=62.5000, pre=58.4270, rec=86.6667, f1=0.6980, kap=0.2500
acc=77.5000, pre=82.3529, rec=70.0000, f1=0.7568, kap=0.5500
acc=71.6667, pre=69.1176, rec=78.3333, f1=0.7344, kap=0.4333
acc=79.1667, pre=75.3623, rec=86.6667, f1=0.8062, kap=0.5833
acc=76.6667, pre=70.5128, rec=91.6667, f1=0.7971, kap=0.5333
acc=79.1667, pre=76.1194, rec=85.0000, f1=0.8031, kap=0.5833
acc=72.5000, pre=73.6842, rec=70.0000, f1=0.7179, kap=0.4500
acc=73.3333, pre=75.9259, rec=68.3333, f1=0.7193, kap=0.4667
acc=74.1667, pre=78.4314, rec=66.6667, f1=0.7207, kap=0.4833
acc=75.0000, pre=78.8462, rec=68.3333, f1=0.7321, kap=0.5000
acc=72.5000, pre=75.4717, rec=66.6667, f1=0.7080, kap=0.4500
acc=69.1667, pre=68.8525, rec=70.0000, f1=0.6942, kap=0.3833
acc=69.1667, pre=68.8525, rec=70.0000, f1=0.6942, kap=0.3833
acc=68.3333, pre=67.7419, rec=70.0000, f1=0.6885, kap=0.3667
acc=68.3333, pre=67.7419, rec=70.0000, f1=0.6885, kap=0.3667
acc=74.1667, pre=77.3585, rec=68.3333, f1=0.7257, kap=0.4833
acc=72.5000, pre=73.6842, rec=70.0000, f1=0.7179, kap=0.4500
acc=70.8333, pre=71.1864, rec=70.0000, f1=0.7059, kap=0.4167
acc=69.1667, pre=68.8525, rec=70.0000, f1=0.6942, kap=0.3833
acc=69.1667, pre=68.8525, rec=70.0000, f1=0.6942, kap=0.3833
acc=71.6667, pre=72.4138, rec=70.0000, f1=0.7119, kap=0.4333
acc=70.8333, pre=71.1864, rec=70.0000, f1=0.7059, kap=0.4167
acc=70.8333, pre=71.1864, rec=70.0000, f1=0.7059, kap=0.4167
acc=70.8333, pre=71.1864, rec=70.0000, f1=0.7059, kap=0.4167
acc=70.0000, pre=70.0000, rec=70.0000, f1=0.7000, kap=0.4000
acc=71.6667, pre=72.4138, rec=70.0000, f1=0.7119, kap=0.4333
acc=70.0000, pre=70.0000, rec=70.0000, f1=0.7000, kap=0.4000
acc=71.6667, pre=72.4138, rec=70.0000, f1=0.7119, kap=0.4333
acc=70.0000, pre=70.0000, rec=70.0000, f1=0.7000, kap=0.4000
acc=69.1667, pre=68.8525, rec=70.0000, f1=0.6942, kap=0.3833
acc=69.1667, pre=68.8525, rec=70.0000, f1=0.6942, kap=0.3833
acc=69.1667, pre=68.8525, rec=70.0000, f1=0.6942, kap=0.3833
acc=69.1667, pre=68.8525, rec=70.0000, f1=0.6942, kap=0.3833
acc=69.1667, pre=68.8525, rec=70.0000, f1=0.6942, kap=0.3833
acc=68.3333, pre=67.7419, rec=70.0000, f1=0.6885, kap=0.3667
acc=69.1667, pre=68.8525, rec=70.0000, f1=0.6942, kap=0.3833
acc=70.0000, pre=70.0000, rec=70.0000, f1=0.7000, kap=0.4000
acc=70.8333, pre=71.1864, rec=70.0000, f1=0.7059, kap=0.4167
acc=70.0000, pre=70.0000, rec=70.0000, f1=0.7000, kap=0.4000
acc=70.8333, pre=71.1864, rec=70.0000, f1=0.7059, kap=0.4167
acc=70.8333, pre=71.1864, rec=70.0000, f1=0.7059, kap=0.4167
acc=70.0000, pre=70.6897, rec=68.3333, f1=0.6949, kap=0.4000
acc=70.8333, pre=71.1864, rec=70.0000, f1=0.7059, kap=0.4167
acc=70.8333, pre=71.1864, rec=70.0000, f1=0.7059, kap=0.4167
acc=70.0000, pre=70.0000, rec=70.0000, f1=0.7000, kap=0.4000
acc=69.1667, pre=68.8525, rec=70.0000, f1=0.6942, kap=0.3833
