acc=57.5000, pre=55.8442, rec=71.6667, f1=0.6277, kap=0.1500
acc=57.5000, pre=55.8442, rec=71.6667, f1=0.6277, kap=0.1500
acc=55.0000, pre=53.9474, rec=68.3333, f1=0.6029, kap=0.1000
acc=55.8333, pre=54.5455, rec=70.0000, f1=0.6131, kap=0.1167
acc=55.8333, pre=54.5455, rec=70.0000, f1=0.6131, kap=0.1167
acc=55.0000, pre=53.9474, rec=68.3333, f1=0.6029, kap=0.1000
acc=55.8333, pre=54.6667, rec=68.3333, f1=0.6074, kap=0.1167
acc=55.0000, pre=54.0541, rec=66.6667, f1=0.5970, kap=0.1000
acc=55.0000, pre=54.0541, rec=66.6667, f1=0.5970, kap=0.1000
acc=55.0000, pre=54.0541, rec=66.6667, f1=0.5970, kap=0.1000
acc=54.1667, pre=53.4247, rec=65.0000, f1=0.5865, kap=0.0833
acc=55.0000, pre=54.0541, rec=66.6667, f1=0.5970, kap=0.1000
acc=55.0000, pre=54.0541, rec=66.6667, f1=0.5970, kap=0.1000
acc=55.0000, pre=54.0541, rec=66.6667, f1=0.5970, kap=0.1000
acc=55.0000, pre=54.0541, rec=66.6667, f1=0.5970, kap=0.1000
acc=55.8333, pre=54.6667, rec=68.3333, f1=0.6074, kap=0.1167
acc=55.0000, pre=53.9474, rec=68.3333, f1=0.6029, kap=0.1000
acc=55.0000, pre=53.9474, rec=68.3333, f1=0.6029, kap=0.1000
acc=55.0000, pre=53.9474, rec=68.3333, f1=0.6029, kap=0.1000
acc=55.0000, pre=53.9474, rec=68.3333, f1=0.6029, kap=0.1000
acc=55.0000, pre=53.9474, rec=68.3333, f1=0.6029, kap=0.1000
